GEOID,Label for GEO_ID,Total,Less than 10 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 percent or more,Not Computed
1400000US06001400100,"Census Tract 4001, Alameda County, California",88,0,20,15,9,8,0,0,0,28,8
1400000US06001400200,"Census Tract 4002, Alameda County, California",387,33,35,68,109,53,15,6,33,29,6
1400000US06001400300,"Census Tract 4003, Alameda County, California","1,491",187,139,267,274,133,117,29,75,238,32
1400000US06001400400,"Census Tract 4004, Alameda County, California","1,082",72,126,145,163,155,151,48,44,137,41
1400000US06001400500,"Census Tract 4005, Alameda County, California",951,58,135,164,124,38,47,38,72,246,29
1400000US06001400600,"Census Tract 4006, Alameda County, California",440,60,58,51,63,65,7,19,29,69,19
1400000US06001400700,"Census Tract 4007, Alameda County, California","1,081",90,116,62,94,99,137,73,105,264,41
1400000US06001400800,"Census Tract 4008, Alameda County, California",905,68,58,149,97,144,20,62,63,213,31
1400000US06001400900,"Census Tract 4009, Alameda County, California",672,20,43,58,74,135,59,53,61,131,38
1400000US06001401000,"Census Tract 4010, Alameda County, California","1,561",87,118,177,151,160,133,111,114,418,92
1400000US06001401100,"Census Tract 4011, Alameda County, California","1,587",78,142,205,202,231,96,105,126,359,43
1400000US06001401200,"Census Tract 4012, Alameda County, California",794,35,112,103,107,51,83,59,54,172,18
1400000US06001401300,"Census Tract 4013, Alameda County, California","1,302",77,78,155,168,201,99,60,82,339,43
1400000US06001401400,"Census Tract 4014, Alameda County, California",1226,28,88,95,51,130,117,82,156,391,88
1400000US06001401500,"Census Tract 4015, Alameda County, California",713,40,38,85,44,69,88,44,19,239,47
1400000US06001401600,"Census Tract 4016, Alameda County, California",386,50,33,21,37,42,33,7,22,111,30
1400000US06001401700,"Census Tract 4017, Alameda County, California",336,16,29,62,30,12,22,15,26,84,40
1400000US06001401800,"Census Tract 4018, Alameda County, California",537,40,40,70,31,44,45,0,36,192,39
1400000US06001401900,"Census Tract 4019, Alameda County, California",105,18,23,8,25,15,16,0,0,0,0
1400000US06001402000,"Census Tract 4020, Alameda County, California",6,0,6,0,0,0,0,0,0,0,0
1400000US06001402100,"Census Tract 4021, Alameda County, California",414,22,43,31,41,45,38,7,28,132,27
1400000US06001402200,"Census Tract 4022, Alameda County, California",451,34,42,62,63,50,39,8,57,62,34
